id,marriage,attend,denom,gender,ideology,orientation,friends,educ,region,race,age
558,1,1,2,2,3,1,1,14,2,4,37
559,2,1,7,2,0,1,5,17,2,2,44
560,1,5,7,2,0,1,1,13,2,2,21
561,2,3,7,2,0,1,5,13,2,2,41
562,1,4,2,1,1,1,1,16,2,2,36
563,3,1,7,1,1,1,5,16,2,2,67
564,3,1,1,1,0,1,5,12,2,2,68
565,1,4,1,1,0,1,1,16,2,2,45
566,2,1,1,2,0,1,1,17,2,2,39
567,2,5,7,2,1,1,5,14,2,2,24
568,3,2,7,1,1,1,1,13,2,2,44
569,2,5,7,2,0,1,5,14,2,2,63
570,1,5,7,1,2,1,5,14,2,2,25
571,3,1,1,2,4,1,5,13,2,1,81
572,3,5,1,1,2,1,1,9,2,1,51
573,3,5,1,2,0,1,5,12,2,1,49
